"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 04 15:51:47 GMT 2022","Tue Oct 04 15:51:55 GMT 2022","7806","webkit","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"failed","Tue Oct 04 15:51:31 GMT 2022","Tue Oct 04 15:51:46 GMT 2022","15591","webkit","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Tue Oct 04 15:47:47 GMT 2022","Tue Oct 04 15:47:52 GMT 2022","5693","chromium","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Tue Oct 04 15:46:53 GMT 2022","Tue Oct 04 15:47:00 GMT 2022","6675","chromium","registration.spec.js","","","","Register with valid random generated credentials.",""
"failed","Tue Oct 04 15:49:25 GMT 2022","Tue Oct 04 15:49:40 GMT 2022","14862","firefox","sign-in.spec.js","","","","Sign in with valid credentials.",""
"failed","Tue Oct 04 15:47:33 GMT 2022","Tue Oct 04 15:47:46 GMT 2022","13262","chromium","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Tue Oct 04 15:50:43 GMT 2022","Tue Oct 04 15:50:52 GMT 2022","9109","webkit","registration.spec.js","","","","Register with valid random generated credentials.",""
"failed","Tue Oct 04 15:52:31 GMT 2022","Tue Oct 04 15:52:47 GMT 2022","16617","webkit","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Tue Oct 04 15:47:00 GMT 2022","Tue Oct 04 15:47:03 GMT 2022","2947","chromium","registration.spec.js","","","","Register with blank form.",""
"passed","Tue Oct 04 15:48:39 GMT 2022","Tue Oct 04 15:48:47 GMT 2022","8221","firefox","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Tue Oct 04 15:49:41 GMT 2022","Tue Oct 04 15:49:48 GMT 2022","6987","firefox","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Tue Oct 04 15:48:47 GMT 2022","Tue Oct 04 15:48:51 GMT 2022","3951","firefox","registration.spec.js","","","","Register with blank form.",""
"passed","Tue Oct 04 15:50:52 GMT 2022","Tue Oct 04 15:50:57 GMT 2022","4484","webkit","registration.spec.js","","","","Register with blank form.",""
"failed","Tue Oct 04 15:50:25 GMT 2022","Tue Oct 04 15:50:42 GMT 2022","17796","firefox","sign-in.spec.js","","","","“Stay logged in” is working",""
"failed","Tue Oct 04 15:48:23 GMT 2022","Tue Oct 04 15:48:38 GMT 2022","15108","chromium","sign-in.spec.js","","","","“Stay logged in” is working",""
